Band,Song,Mix Version
Nothing to Lose,Just looking now searching,1.0
88 Fingers Louie,Selfish means,1.0
A New Found Glory,Hit or miss,1.0
Anti-freeze,Ordinary,1.0
Ataris,Let it Burn,1.0
Benign,Shadows,1.0
Blink,Wrecked him,1.0
Bracket ,Why should I,1.0
Consumed,Wake up with a smile,1.0
Descendents,Thank you,1.0
Down by Law,And on,1.0
Ex Number Five,Just sit back and relax,1.0
Face to Face,Not enough,1.0
Fenix TX,Ben,1.0
For Love Not Lisa,Had a lover,1.0
General Purpose ,Worlds apart,1.0
Good Riddance,Self fulfilling catastrophe,1.0
H20,Thicker than water,1.0
Jugheads revenge,No time,1.0
Lagwagon,Bring on the dancing horses,1.0
Lucky 7,Derail,1.0
Millencollin,Twenty two,1.0
Mxpx,Cold and all alone,1.0
No use for a name,Saddest song,1.0
Propghandi,Resisting tyrannical government,1.0
Craig’s Brother,Who am I,1.0
Nufan,Always Carrie,2.0
Teen Idols,Forever in my dreams,2.0
Ten Foot Pole,Damage,2.0
Pegboy,Hard light,2.0
Singles,So deceived,2.0
Screeching Weasels,The first day of autumn,2.0
Descendents,She loves me,2.0
Samiam,Sunshine,2.0
Red Letter Day,Sorry about Wisconsin,2.0
Pulley,Seain’ Different,2.0
Guttermouth,Carp,2.0
Pennywise,Never know,2.0
Offspring,Total immortal,2.0
Nofx,Stranded,2.0
Nothing to Lose,Moving on,2.0
Nufan,Why doesn’t anybody like me,2.0
Ex Number Five,Zero to sixty in 10.6,2.0
Excuse,Faded light,2.0
Guttermouth,Perfect world,2.0
Jugheads Revenge,Sleep walking,2.0
Lucky 7,Be the one,2.0
Millencollin,Boring planet,2.0
Misfits,Skulls,2.0
Mustard Plug,Go,2.0
Mxpx,Destroyed by you,2.0
Fenix TX,No lie,2.0
Nothing to lose,On my own,2.0
Third Try,Bumpstart,2.0
Teen Idols,Skinflynt,2.0
Afi,Mailleus malefication,6.0
Boy Sets Fire,Rookie,6.0
Side Out,Victim of reality,6.0
Pipedown,Track 2,6.0
Ex Number Five,Metermaid,6.0
Brodie Punk,Stupid Bastard,6.0
Beatsteaks,Let me in,6.0
Craigs Brother,Back and forth,6.0
Glass Eater,Weekend sellout,6.0
Pulley,Runaway,6.0
Millencollin,Blackeye,6.0
Nufan,Pride,6.0
Zero Down,Down this road,6.0
Afi,Days of the phoenix,6.0
Sick Shift,Drug,6.0
Bad Religion,Bored and extremely dangerous,6.0
Face to Face,Disappointed,6.0
Dogwood,Nothing is everything,6.0
Side Out,Wasted time,6.0
Guttermouth,Lockdown,6.0
Descendents,Original me,6.0
Nuclear Saturday,Starless,6.0
Misfits,Where eagles dare,6.
Propghandi,Mate ma…,7.0
Afi,Weathered tone,7.0
