question,answer,tags
Human movement system (HMS),"The collective components and structures that work together to move the body: muscular, skeletal, and nervous systems.","cpt|chapter 5|nervous|vocab|section 3"
Kinetic chain,"A concept that describes the human body as a chain of interdependent links that work together to perform movement.","cpt|chapter 5|nervous|vocab|section 3"
Nervous system,"A network of specialized cells called neurons that transmit and coordinate signals, providing a communication network within the human body.","cpt|chapter 5|nervous|vocab|section 3"
Neuron,"Specialized cell that is the functional unit of the nervous system.","cpt|chapter 5|nervous|vocab|section 3"
Nucleus,"Cellular structure or organelle that contains the majority of the cell’s genetic material in the form of chromosomes.","cpt|chapter 5|nervous|vocab|section 3"
Organelles,"Tiny cellular structures that perform specific functions within a cell. Examples include nuclei, mitochondria, lysosomes, ribosomes, and the endoplasmic reticulum.","cpt|chapter 5|nervous|vocab|section 3"
Mitochondria,"The parts of the cell that use nutrients to create energy for the cell; commonly known as the powerhouses of the cell.","cpt|chapter 5|nervous|vocab|section 3"
Effector sites,"A part of the body, such as a muscle or organ, that receives a signal from a neuron to produce a physiological response.","cpt|chapter 5|nervous|vocab|section 3"
Electrolytes,"Minerals that have an electrical charge to help transmit nerve impulses throughout the body, such as sodium, potassium, and magnesium.","cpt|chapter 5|nervous|vocab|section 3"
Central nervous system (CNS),"A division of the nervous system that includes the brain and spinal cord.","cpt|chapter 5|nervous|vocab|section 3"
Peripheral nervous system (PNS),"Nerves that connect the rest of the body to the central nervous system.   12 Cranial nerves and 31 pairs of spinal nerves","cpt|chapter 5|nervous|vocab|section 3"
Afferent pathway,"Sensory pathway that relays information to the central nervous system. PNS -> CNS","cpt|chapter 5|nervous|vocab|section 3"
Efferent pathway,"A motor pathway that relays information from the central nervous system to the rest of the body. CNS -> PNS","cpt|chapter 5|nervous|vocab|section 3"
Interneurons,"Neurons located within the spinal cord and brain that transmit impulses between afferent and efferent neurons.","cpt|chapter 5|nervous|vocab|section 3"
Mechanoreceptors,"Specialized structures that respond to mechanical forces (touch and pressure) within tissues and then transmit signals through sensory nerves.","cpt|chapter 5|nervous|vocab|section 3"
Somatic nervous system,"Nerves that serve the outer areas of the body and skeletal muscle and are largely responsible for the voluntary control of movement.","cpt|chapter 5|nervous|vocab|section 3"
Autonomic nervous system,"A division of the peripheral nervous system that supplies neural input to organs that run the involuntary processes of the body (e.g., circulating blood, digesting food, producing hormones).","cpt|chapter 5|nervous|vocab|section 3"
Sympathetic nervous system,"Subdivision of the autonomic nervous system that works to increase neural activity and put the body in a heightened state.","cpt|chapter 5|nervous|vocab|section 3"
