question,answer,tags
Human movement system (HMS),"The collective components and structures that work together to move the body: muscular, skeletal, and nervous systems.","cpt|chapter 7|vocab|section 3"
Kinetic chain,"A concept that describes the human body as a chain of interdependent links that work together to perform movement.","cpt|chapter 7|vocab|section 3"
Regional interdependence model,"The concept describing the integrated functioning of multiple body systems or regions of the body.","cpt|chapter 7|vocab|section 3"
Biomechanics,"The science concerned with the internal and external forces acting on the human body and the effects produced by these forces.","cpt|chapter 7|vocab|section 3"
Kinesiology,"Study of movement as it relates to anatomy and physiology.","cpt|chapter 7|vocab|section 3"
Anatomic position,"The position with the body erect, the arms at the sides, and the palms forward. It is the position of reference for anatomic nomenclature.","cpt|chapter 7|vocab|section 3"
Osteokinematics,"Movement of a limb that is visible.","cpt|chapter 7|vocab|section 3"
Arthrokinematics,"The description of joint surface movement; consists of three major types: roll, slide, and spin.","cpt|chapter 7|vocab|section 3"
Sagittal plane,"An imaginary bisector that divides the body into left and right halves.","cpt|chapter 7|vocab|section 3"
Flexion,"A bending movement in which the relative angle between two adjacent segments decreases.","cpt|chapter 7|vocab|section 3"
Extension,"A straightening movement in which the relative angle between two adjacent segments increases.","cpt|chapter 7|vocab|section 3"
Hyperextension,"Extension of a joint beyond the normal limit or range of motion.","cpt|chapter 7|vocab|section 3"
Dorsiflexion,"Flexion occurring at the ankle.","cpt|chapter 7|vocab|section 3"
Plantar flexion,"Extension occurring at the ankle. Pointing the foot downwards.","cpt|chapter 7|vocab|section 3"
Frontal plane,"An imaginary bisector that divides the body into front and back halves. Movement in the frontal plane includes abduction, adduction, and side-to-side motions.","cpt|chapter 7|vocab|section 3"
Abduction,"A movement in the frontal plane away from the midline of the body.","cpt|chapter 7|vocab|section 3"
Adduction,"Movement in the frontal plane back toward the midline of the body.","cpt|chapter 7|vocab|section 3"
Lateral flexion,"Bending of the spine from side to side.","cpt|chapter 7|vocab|section 3"
Eversion,"A movement in which the inferior calcaneus (heel bone) moves laterally. The bottom of foot faces outward.","cpt|chapter 7|vocab|section 3"
Inversion,"A movement in which the inferior calcaneus (heel bone) moves medially. Bottom of foot faces inward.","cpt|chapter 7|vocab|section 3"
Transverse plane,"An imaginary bisector that divides the body into top and bottom halves.","cpt|chapter 7|vocab|section 3"
Internal rotation,"Rotation of a body segment toward the middle of the body.","cpt|chapter 7|vocab|section 3"
External rotation,"Rotation of a body segment away from the middle of the body.","cpt|chapter 7|vocab|section 3"
Horizontal abduction,"Movement of the arm or thigh in the transverse plane from an anterior position to a lateral position.","cpt|chapter 7|vocab|section 3"
Horizontal adduction,"Movement of the arm or thigh in the transverse plane from a lateral position to an anterior position.","cpt|chapter 7|vocab|section 3"
Radioulnar pronation,"Inward rotation of the forearm from a palm-up position to a palm-down position.","cpt|chapter 7|vocab|section 3"
Radioulnar supination,"Outward rotation of the forearm from a palm-down position to a palm-up position.","cpt|chapter 7|vocab|section 3"
Pronation of the foot,"Multiplanar movement of the foot and ankle complex consisting of eversion, dorsiflexion, and ankle abduction; associated with force reduction.","cpt|chapter 7|vocab|section 3"
Supination of the foot,"Multiplanar movement of the foot and ankle complex consisting of inversion, plantar flexion, and ankle adduction; associated with force production.","cpt|chapter 7|vocab|section 3"
Gait,"Biomechanical motion of the lower extremities during walking, running, and sprinting.","cpt|chapter 7|vocab|section 3"
Scapular retraction,"Adduction of scapulae; shoulder blades move toward the midline.","cpt|chapter 7|vocab|section 3"
Scapular protraction,"Abduction of scapulae; shoulder blades move away from the midline.","cpt|chapter 7|vocab|section 3"
