question,answer,tags
Adenosine triphosphate (ATP),"A high-energy molecule that serves as the main form of energy in the human body; known as the energy currency of the body.","cpt|chapter 8|vocab|section 3"
Bioenergetics,"The study of energy in the human body.","cpt|chapter 8|vocab|section 3"
Metabolism,"All of the chemical reactions that occur in the body to maintain itself.","cpt|chapter 8|vocab|section 3"
Exercise metabolism,"The examination of bioenergetics as it relates to the unique physiologic changes and demands placed on the body during exercise.","cpt|chapter 8|vocab|section 3"
First law of thermodynamics,"Energy cannot be created or destroyed but merely converted from one form to another.","cpt|chapter 8|vocab|section 3"
Macronutrients,"Food substances required in large amounts to supply energy and include protein, carbohydrate, and fat.","cpt|chapter 8|vocab|section 3"
Substrates,"Intermediate forms of nutrients used in metabolic reactions to create adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
Glucose,"The simplest form of carbohydrate used by the body for energy.","cpt|chapter 8|vocab|section 3"
Glycogen,"Glucose that is deposited and stored in bodily tissues, such as the liver and muscle cells; the storage form of carbohydrate.","cpt|chapter 8|vocab|section 3"
Ventilatory threshold 1 (VT1),"The point at which the body uses an equal mix of carbohydrate and fat as fuel sources.","cpt|chapter 8|vocab|section 3"
Ventilatory threshold 2 (VT2),"The point where glucose provides nearly all of the energy for the activity.","cpt|chapter 8|vocab|section 3"
Fats,"One of the three main classes of foods and a source of energy in the body. Fats help the body use some vitamins and keep the skin healthy. They also serve as energy stores for the body. In food, there are two types of fats: saturated and unsaturated.","cpt|chapter 8|vocab|section 3"
Triglyceride,"The chemical or substrate form in which most fat exists in food as well as in the body.","cpt|chapter 8|vocab|section 3"
Free fatty acids,"The by-products of the breakdown of stored or consumed fats, metabolized exclusively via the aerobic pathway, which uses oxygen to create adenosine triphosphate.","cpt|chapter 8|vocab|section 3"
Protein,"Amino acids linked by peptide bonds; the building blocks of body tissues.","cpt|chapter 8|vocab|section 3"
Essential amino acid (EAA),"Amino acid that must be obtained through the diet as the body does not make it; there are nine essential amino acids.","cpt|chapter 8|vocab|section 3"
Nonessential amino acids,"Amino acids that can be synthesized by the body and do not, under normal circumstances, need to be obtained in the diet.","cpt|chapter 8|vocab|section 3"
Negative energy balance,"When calorie intake is lower than the number of calories expended.","cpt|chapter 8|vocab|section 3"
