question,answer,tags
1x0,0,zoe
1x1,1,zoe
1x2,2,zoe
1x3,3,zoe
1x4,4,zoe
1x5,5,zoe
1x6,6,zoe
1x7,7,zoe
1x8,8,zoe
1x9,9,zoe
1x10,10,zoe
2x0,0,zoe
2x1,2,zoe
2x2,4,zoe
2x3,6,zoe
2x4,8,zoe
2x5,10,zoe
2x6,12,zoe
2x7,14,zoe
2x8,16,zoe
2x9,18,zoe
2x10,20,zoe
3x0,0,zoe
3x1,3,zoe
3x2,6,zoe
3x3,9,zoe
3x4,12,zoe
3x5,15,zoe
3x6,18,zoe
3x7,21,zoe
3x8,24,zoe
3x9,27,zoe
3x10,30,zoe
4x0,0,zoe
4x1,4,zoe
4x2,8,zoe
4x3,12,zoe
4x4,16,zoe
4x5,20,zoe
4x6,24,zoe
4x7,28,zoe
4x8,32,zoe
4x9,36,zoe
4x10,40,zoe
5x0,0,zoe
5x1,5,zoe
5x2,10,zoe
5x3,15,zoe
5x4,20,zoe
5x5,25,zoe
5x6,30,zoe
5x7,35,zoe
5x8,40,zoe
5x9,45,zoe
5x10,50,zoe
6x0,0,zoe
6x1,6,zoe
6x2,12,zoe
6x3,18,zoe
6x4,24,zoe
6x5,30,zoe
6x6,36,zoe
6x7,42,zoe
6x8,48,zoe
6x9,54,zoe
6x10,60,zoe
7x0,0,zoe
7x1,7,zoe
7x2,14,zoe
7x3,21,zoe
7x4,28,zoe
7x5,35,zoe
7x6,42,zoe
7x7,49,zoe
7x8,56,zoe
7x9,63,zoe
7x10,70,zoe
8x0,0,zoe
8x1,8,zoe
8x2,16,zoe
8x3,24,zoe
8x4,32,zoe
8x5,40,zoe
8x6,48,zoe
8x7,56,zoe
8x8,64,zoe
8x9,72,zoe
8x10,80,zoe
9x0,0,zoe
9x1,9,zoe
9x2,18,zoe
9x3,27,zoe
9x4,36,zoe
9x5,45,zoe
9x6,54,zoe
9x7,63,zoe
9x8,72,zoe
9x9,81,zoe
9x10,90,zoe
10x0,0,zoe
10x1,10,zoe
10x2,20,zoe
10x3,30,zoe
10x4,40,zoe
10x5,50,zoe
10x6,60,zoe
10x7,70,zoe
10x8,80,zoe
10x9,90,zoe
10x10,100,zoe
