question,answer,tags
What are the two components of a sarcomere?,Actin and myosin,"cpt|chapter 5|section 3|quiz"
What surrounds the skeletal muscles and connects them to other surrounding muscles?,Fascia,"cpt|chapter 5|section 3|quiz"
What is the concept that describes the human body as a chain of interdependent links that work together to perform movement?,Kinetic chain,"cpt|chapter 5|section 3|quiz"
"When a client's heart rate is raised during cardio activities, this is being caused by which system?",Sympathetic nervous system,"cpt|chapter 5|section 3|quiz"
Which of the following is the functional unit of a muscle cell?,A sarcomere,"cpt|chapter 5|section 3|quiz"
What is the function of the neuromuscular junction?,The site where the nervous system and muscle fibers communicate,"cpt|chapter 5|section 3|quiz"
Which system supplies neural input to organs that run the involuntary processes of the body?,Autonomic nervous system,"cpt|chapter 5|section 3|quiz"
What is the name of the specialized cell that is the functional unit of the nervous system?,Neuron,"cpt|chapter 5|section 3|quiz"
"Which mechanoreceptor is sensitive to changes in muscular tension and rate of that tension change, causing the muscle to relax, which prevents the muscle from excessive stress and possible injury?",Golgi tendon organs,"cpt|chapter 5|section 3|quiz"
Which system supplies neural input to organs that run the involuntary processes of the body?,Autonomic nervous system,"cpt|chapter 5|section 3|quiz"
At what age is the adolescent brain considered to be fully developed?,25,"cpt|chapter 5|section 3|quiz"
Which joints are most associated with human movement?,Synovial,"cpt|chapter 5|section 3|quiz"
At what age is total peak bone mass reached?,30,"cpt|chapter 5|section 3|quiz"
What effect of the cardiovascular system occurs during exercise?,Increased ventricular filling,"cpt|chapter 6|section 3|quiz"
What is cardiac output?,The volume of blood pumped by the heart per minute,"cpt|chapter 6|section 3|quiz"
Which heart chamber gathers deoxygenated blood returning to the heart from the superior and inferior vena cava veins?,Right atrium,"cpt|chapter 6|section 3|quiz"
Which heart chamber gathers oxygenated blood coming to the heart from the lungs?,Left atrium,"cpt|chapter 6|section 3|quiz"
What component of breathing improves blood flow back to the heart?,Inspiration with a decrease in intrathoracic pressure,"cpt|chapter 6|section 3|quiz"
What is end-diastolic volume?,The amount of blood in the ventricle before contraction,"cpt|chapter 6|section 3|quiz"
Where in the digestive system are most fluids absorbed?,Small Intestine,"cpt|chapter 6|section 3|quiz"
"Which type of exercise accommodates effort whereby the harder the individual pushes or pulls, the more resistance they feel, despite the movement speed remaining constant?", Isokinetic,"cpt|chapter 7|section 3|quiz"
What is the most accurate description of motor control?,The ability to initiate and correct purposeful controlled movements,"cpt|chapter 7|section 3|quiz"
What is the anatomical term that describes something positioned above an identified reference point?,Superior,"cpt|chapter 7|section 3|quiz"
What is the anatomical term that describes something positioned below an identified reference point?,Inferior,"cpt|chapter 7|section 3|quiz"
What is the anatomical term that describes something positioned to the front of identified reference point?,Anterior,"cpt|chapter 7|section 3|quiz"
What is the anatomical term that describes something positioned to the back of identified reference point?,Posterior,"cpt|chapter 7|section 3|quiz"
Overactive hip flexors may lead to which of the following postural compensations?,Anterior tilting of the pelvis and an increased low-back arch,"cpt|chapter 7|section 3|quiz"
Which of the following muscle groups work both eccentrically and concentrically in the sagittal plane during a squat?,Quadriceps,"cpt|chapter 7|section 3|quiz"
Movements that take place within a joint and are not visible to the human eye may be classified in what way?,Arthrokinematic,"cpt|chapter 7|section 3|quiz"
How should an eccentric muscle action be described?,The development of muscle tension during lengthening of the contractile tissue,"cpt|chapter 7|section 3|quiz"
Stored energy from an efficiently functioning stretch-shortening cycle is released during which muscle action?,Concentric,"cpt|chapter 7|section 3|quiz"
In what plane of movement do shoulder horizontal adduction and abduction occur?,Transverse,"cpt|chapter 7|section 3|quiz"
What scientific term is used to describe the concept whereby a loaded eccentric contraction prepares the muscles for a rapid concentric contraction?,Stretch-shortening cycle,"cpt|chapter 7|section 3|quiz"
What is the anatomical term that describes something positioned on the opposite side of the body?,Contralateral,"cpt|chapter 7|section 3|quiz"
What measurement is dependent upon the length of the lever arm and the angle between the force application and the lever arm?,Torque,"cpt|chapter 7|section 3|quiz"
What type of lever could be described as having a fulcrum in the middle like a seesaw?,First Class,"cpt|chapter 7|section 3|quiz"
Pronation of the foot describes what multiplanar movements?,"Eversion, dorsiflexion, and ankle abduction","cpt|chapter 7|section 3|quiz"
"During normal walking, the pelvis rotates in what plane to facilitate the necessary momentum for the swing phase?",Transverse,"cpt|chapter 7|section 3|quiz"
"What is the scientific term that describes the nervous system’s role in the contract/relax relationship between agonists and antagonists?",Reciprocal inhibition,"cpt|chapter 7|section 3|quiz"
Which of the following statements would be accurate with regard to muscle force and velocity during an eccentric muscle action?,As the contraction velocity increases the ability to develop force also increases.,"cpt|chapter 7|section 3|quiz"
What is the concept used to describe the action of muscles that have the ability to contract automatically in anticipation of movement?,"Feed-forward","cpt|chapter 7|section 3|quiz"
