source,topic,question,answer,type,cert,options
NASM Personal Fitness Training: Chapter 01,Chapter 01,Which condition is an example of a chronic disease?,Type 2 diabetes,Quiz,NASM CPT,Type 2 diabetes|Flu|Strep throat|Appendicitis
NASM Personal Fitness Training: Chapter 01,Chapter 01,Which statement best describes the term deconditioned?,"A state in which a person may have a combination of muscle imbalances, poor flexibility, insufficient endurance, or limited joint stability",Quiz,NASM CPT,"A state in which a person may have a combination of muscle imbalances, poor flexibility, insufficient endurance, or limited joint stability|A state in which the individual is out of breath when climbing a flight of stairs|A state in which a person is dealing with a chronic health condition|A state in which a person is overweight or obese and at risk for diabetes"
NASM Personal Fitness Training: Chapter 03,Chapter 03,"When family members are not supportive of exercise-related behaviors, it can be viewed as which of the following?",A barrier to exercise,Quiz,NASM CPT,A barrier to exercise|An influence on exercise|Amotivation to exercise|Ambivalence toward exercise
NASM Personal Fitness Training: Chapter 03,Chapter 03,A known relationship between sleep and exercise is demonstrated by which statement?,Increasing physical activity to at least 150 minutes per week at a moderate intensity can decrease symptoms of insomnia.,Quiz,NASM CPT,"Increasing physical activity to at least 150 minutes per week at a moderate intensity can decrease symptoms of insomnia.|Resistance training has not been shown to have any positive effect on sleep disturbances.|In order for exercise to improve sleep, it must be coupled with medication.|Getting 10 minutes a day of physical activity is all that is needed to improve insomnia."
NASM Personal Fitness Training: Chapter 03,Chapter 03,Empathy is best described as?,The ability to identify with how another person feels,Quiz,NASM CPT,The ability to identify with how another person feels|Providing instrumental support to an individual|Listening to a client but not providing any support|Being positive and outgoing during training sessions
NASM Personal Fitness Training: Chapter 03,Chapter 03,The role of psychology in fitness and wellness is strongly rooted in which area?,Behavioral change,Quiz,NASM CPT,Behavioral change|Eating disorders|Social physique anxiety|Depression
NASM Personal Fitness Training: Chapter 03,Chapter 03,Unrealistic goals can become a barrier when which of the following happens?,When goals are not adjusted,Quiz,NASM CPT,When goals are not adjusted|When process goals are too specific|When outcome goals are objective|When only one goal is set
NASM Personal Fitness Training: Chapter 04,Chapter 04,What part of a SMART goal involves being able to track progress?,Measurable,Quiz,NASM CPT,Measurable|Specific|Attainable|Timely
NASM Personal Fitness Training: Chapter 05,Chapter 05,"Humans can learn new things at any stage of life, due to which process that causes the brain to reform neural pathways?",Neuroplasticity,Quiz,NASM CPT,Neuroplasticity|Neurocircuitry|Neuromotor skills|Remodeling
NASM Personal Fitness Training: Chapter 05,Chapter 05,"What activity is especially beneficial for combating the loss of muscle mass, power, and strength for aging adults?",Resistance training,Quiz,NASM CPT,Resistance training|Cardio|Aerobics|Walking
