source,topic,question,answer,type,cert
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Anterior  cruciate  ligament (ACL) tear,"A stretch, partial tear, or complete tear of the anterior cruciate ligament of the knee.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Arrhythmia,"A problem with the rate or rhythm of a person’s heartbeat. The heart beats too quickly, too slowly, or with an irregular pattern.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Atherosclerosis,The processes by which plaque is formed in arteries leading to reduced blood flow.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Cancer,A group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Cholesterol,"A waxy, fatlike substance found in bodily cells.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Chronic obstructive pulmonary disease (COPD),"A general term used to describe progressive lung diseases, including emphysema, chronic bronchitis, and refractory (nonreversible) asthma.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Deconditioned,"A state of lost physical fitness, which may include muscle imbalances, decreased flexibility, and a lack of core and joint stability.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Diabetes,"Chronic metabolic disorder, caused by insulin deficiency, which impairs carbohydrate usage and enhances usage of fat and protein.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Diastolic blood  pressure (DBP),The pressure in arteries and other blood vessels when heart is at rest or between beats; the second (bottom) number recorded.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Endorphins,"A group of hormones secreted by the brain that provides a variety of physiological functions, such as reducing the perception of pain.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 01,The Modern State of Health and Fitness,Evidence-based practice,"A practice that relies on evidence for guidance and decision-making and includes developing individual expertise, staying current on the best sources of external evidence (e.g., peer-reviewed research), and prioritizing client values and expectations.",Vocab,NASM CPT
